model_key,model,protocol,protocol_name,direction,row_type,genre,is_seen,n,mrr,recall_at_1,recall_at_5,recall_at_10,mean_rank
pair,Pair-based Head,A,pair,V2A,genre,Jazz,1,367,0.04607814697880112,0.01634877384196185,0.05449591280653951,0.08446866485013624,510.15531335149865
pair,Pair-based Head,A,pair,V2A,genre,Pop music,1,367,0.023633570054908085,0.005449591280653951,0.0326975476839237,0.05449591280653951,702.0844686648502
pair,Pair-based Head,A,pair,V2A,genre,Reggae,0,366,0.01512367899974894,0.00273224043715847,0.02459016393442623,0.03551912568306011,871.2158469945355
pair,Pair-based Head,A,pair,V2A,genre,Rock music,1,367,0.027103134734574125,0.010899182561307902,0.02452316076294278,0.05994550408719346,607.0
pair,Pair-based Head,A,pair,V2A,seen_mean,,,,0.04293896248938708,0.015581959768317919,0.0557115417748821,0.08922057231343872,569.0778364144156
pair,Pair-based Head,A,pair,V2A,unseen_mean,,,,0.013791853411661307,0.002727277239270807,0.014554577805571687,0.028188482402981888,858.0846647111666
pair,Pair-based Head,A,pair,V2A,overall_mean,,,,0.03419482976606934,0.011725555009603785,0.043364452584088976,0.07091094534030166,655.7798849034409
pair,Pair-based Head,A,pair,A2V,genre,Blues,1,367,0.03904763181955945,0.01634877384196185,0.04904632152588556,0.07356948228882834,685.3896457765668
pair,Pair-based Head,A,pair,A2V,genre,Classical music,1,366,0.08794790136333502,0.0273224043715847,0.12568306010928962,0.2103825136612022,310.10109289617486
pair,Pair-based Head,A,pair,A2V,genre,Country,1,367,0.0529433157186676,0.027247956403269755,0.05722070844686648,0.09264305177111716,541.4850136239781
pair,Pair-based Head,A,pair,A2V,genre,Electronic music,0,367,0.01948185966377228,0.010899182561307902,0.01907356948228883,0.02452316076294278,892.291553133515
pair,Pair-based Head,A,pair,A2V,genre,Funk,0,367,0.00999074514038291,0.0027247956403269754,0.005449591280653951,0.008174386920980926,821.2234332425068
pair,Pair-based Head,A,pair,A2V,genre,Hip hop music,1,367,0.0174947525773574,0.008174386920980926,0.013623978201634877,0.02452316076294278,626.841961852861
pair,Pair-based Head,A,pair,A2V,genre,Jazz,1,367,0.03835408593770656,0.008174386920980926,0.051771117166212535,0.08446866485013624,517.0408719346049
pair,Pair-based Head,A,pair,A2V,genre,Pop music,1,367,0.026351872684212883,0.013623978201634877,0.02452316076294278,0.043596730245231606,723.2506811989101
pair,Pair-based Head,A,pair,A2V,genre,Reggae,0,366,0.005074449453306395,0.0,0.0,0.00819672131147541,951.9398907103825
pair,Pair-based Head,A,pair,A2V,genre,Rock music,1,367,0.03312405568109991,0.005449591280653951,0.051771117166212535,0.0653950953678474,619.3950953678474
pair,Pair-based Head,A,pair,A2V,seen_mean,,,,0.04218051654027698,0.015191639705866709,0.05337706619700634,0.08493981413532938,574.7863375215633
pair,Pair-based Head,A,pair,A2V,unseen_mean,,,,0.011515684752487196,0.004541326067211626,0.008174386920980927,0.013631422998466371,888.4849590288013
pair,Pair-based Head,A,pair,A2V,overall_mean,,,,0.03298106700394004,0.011996545614270184,0.03981626241419872,0.06354729679427049,668.8959239737347
pair,Pair-based Head,B,label,V2A,genre,Blues,1,367,0.37643624971326517,0.21798365122615804,0.5749318801089919,0.7411444141689373,9.659400544959128
pair,Pair-based Head,B,label,V2A,genre,Classical music,1,366,0.8000437078853512,0.7185792349726776,0.8961748633879781,0.9207650273224044,5.7923497267759565
pair,Pair-based Head,B,label,V2A,genre,Country,1,367,0.5137648876273396,0.33787465940054495,0.7302452316076294,0.8555858310626703,6.692098092643052
pair,Pair-based Head,B,label,V2A,genre,Electronic music,0,367,0.4519276422362513,0.2779291553133515,0.6975476839237057,0.8201634877384196,7.381471389645776
pair,Pair-based Head,B,label,V2A,genre,Funk,0,367,0.2809000583012064,0.12534059945504086,0.44686648501362397,0.6839237057220708,10.643051771117166
pair,Pair-based Head,B,label,V2A,genre,Hip hop music,1,367,0.5732073987637161,0.4223433242506812,0.7656675749318801,0.885558583106267,5.03542234332425
pair,Pair-based Head,B,label,V2A,genre,Jazz,1,367,0.4189684778548208,0.2779291553133515,0.5831062670299727,0.7220708446866485,8.948228882833787
pair,Pair-based Head,B,label,V2A,genre,Pop music,1,367,0.48618273890852864,0.31607629427792916,0.6811989100817438,0.8201634877384196,6.471389645776567
pair,Pair-based Head,B,label,V2A,genre,Reggae,0,366,0.3719723757009503,0.1994535519125683,0.5901639344262295,0.7841530054644809,8.128415300546449
pair,Pair-based Head,B,label,V2A,genre,Rock music,1,367,0.49719153509652875,0.32697547683923706,0.7029972752043597,0.8038147138964578,8.032697547683924
pair,Pair-based Head,B,label,V2A,seen_mean,,,,0.5236849994070786,0.37396597089722566,0.7049031431932222,0.8213004145688292,7.233083826285238
pair,Pair-based Head,B,label,V2A,unseen_mean,,,,0.3682666920794693,0.20090776889365355,0.5781927011211864,0.7627467329749904,8.717646153769797
pair,Pair-based Head,B,label,V2A,overall_mean,,,,0.47705950720879586,0.322048510296154,0.6668900105716113,0.8037343100906776,7.678452524530606
pair,Pair-based Head,B,label,A2V,genre,Blues,1,367,0.39192527615389394,0.22343324250681199,0.6021798365122616,0.7683923705722071,8.231607629427794
pair,Pair-based Head,B,label,A2V,genre,Classical music,1,366,0.766833110534059,0.6939890710382514,0.8497267759562842,0.8825136612021858,8.382513661202186
pair,Pair-based Head,B,label,A2V,genre,Country,1,367,0.5140864077087777,0.37329700272479566,0.6866485013623979,0.784741144414169,11.29700272479564
pair,Pair-based Head,B,label,A2V,genre,Electronic music,0,367,0.5075420567801718,0.3787465940054496,0.6566757493188011,0.779291553133515,11.245231607629428
pair,Pair-based Head,B,label,A2V,genre,Funk,0,367,0.26730818395630757,0.09264305177111716,0.45776566757493187,0.7193460490463215,9.550408719346049
