model_key,model,direction,genre,n,delta_median,delta_mean,delta_q25,delta_q75,delta_p10,delta_p05,frac_delta_neg,rank_median,spearman_delta_vs_rank,spearman_pvalue,pearson_delta_vs_rank,pearson_pvalue
pair,E1,V2A,ALL,3668,0.005032007283908085,-0.015851613066943868,-0.11910537793632325,0.11190997546578699,-0.2544457311627479,-0.3465013136076989,0.5484499932996829,3.1,-0.5285905800820672,nan,-0.4725432291599551,nan
pair,E1,A2V,Blues,367,-0.15192318114994696,-0.18819785419792276,-0.29648899725991607,-0.021044114686826473,-0.5206432925743734,-0.7053602373913328,0.8010899182561307,6.0,-0.5780449242653565,4.207996510966095e-34,-0.5171893975024789,1.70880671680492e-26
pair,E1,A2V,Classical music,366,0.24092983514995286,0.21773476132709296,0.008050539545013044,0.43835001420804054,-0.17227676465780314,-0.27667853177771573,0.24316939890710382,1.0,-0.6481548450743957,5.462786049351927e-45,-0.348245574094849,7.116052307727926e-12
pair,E1,A2V,Country,367,-0.023728972523781477,-0.045348315055278844,-0.16469202457091314,0.12279835614517527,-0.3507161778656902,-0.49155738181266406,0.555858310626703,2.0,-0.6329576853941996,1.761928419179428e-42,-0.6419991105591848,5.019919077561007e-44
pair,E1,A2V,Electronic music,367,0.007534336049824786,-0.021478852948287584,-0.14556968957676825,0.11314367853379279,-0.2611547540661158,-0.34103629684938697,0.4877384196185286,2.0,-0.6498739812613269,2.0501219828224677e-45,-0.6028205782035608,1.1087534034881153e-37
pair,E1,A2V,Funk,367,-0.06795575587542219,-0.09457522598829801,-0.17410070338234374,0.013454596184769657,-0.2955474115240403,-0.3870781628895193,0.7029972752043597,5.0,-0.4544126648363486,4.2348475900611005e-20,-0.4661669267870193,3.371050281932148e-21
pair,E1,A2V,Hip hop music,367,-0.035532702596724475,-0.05241794269135334,-0.13449444980045977,0.04434065100271478,-0.23233400411856822,-0.30294599753337403,0.5858310626702997,2.0,-0.5356489096738252,1.220342740285437e-28,-0.5597371700272348,1.2002841343079744e-31
pair,E1,A2V,Jazz,367,-0.14796687738551823,-0.18962092615557705,-0.3701555006192407,0.02760751594243227,-0.652592940400394,-0.7453338328885714,0.6975476839237057,5.0,-0.6589433634044588,4.573157807129124e-47,-0.4980507228910604,2.107246481715125e-24
pair,E1,A2V,Pop music,367,-0.152685045736057,-0.13348521254761606,-0.245537206789,-0.03105933613954298,-0.33902826174373385,-0.3983573208889663,0.784741144414169,6.0,-0.4368703174472648,1.5488409775246136e-18,-0.36172457517194806,8.706795764679854e-13
pair,E1,A2V,Reggae,366,-0.01899451072894115,-0.049411405327009106,-0.11542964158189845,0.045908329733459055,-0.2573679110072248,-0.31929155927894115,0.5846994535519126,4.0,-0.7165795708285216,6.54660439402682e-59,-0.6626659913097993,1.2352344552092001e-47
