model_key,model,direction,true_genre,nearest_other_genre,count,row_percent,both_in_cluster
genre,E2,V2A,Reggae,Pop music,11,3.0054644808743167,1
genre,E2,V2A,Reggae,Rock music,30,8.19672131147541,0
genre,E2,V2A,Rock music,Blues,219,59.67302452316076,0
genre,E2,V2A,Rock music,Classical music,7,1.9073569482288828,0
genre,E2,V2A,Rock music,Country,39,10.626702997275205,0
genre,E2,V2A,Rock music,Electronic music,36,9.809264305177111,0
genre,E2,V2A,Rock music,Funk,3,0.8174386920980926,0
genre,E2,V2A,Rock music,Hip hop music,12,3.2697547683923704,0
genre,E2,V2A,Rock music,Jazz,15,4.087193460490464,0
genre,E2,V2A,Rock music,Pop music,29,7.901907356948229,0
genre,E2,V2A,Rock music,Reggae,7,1.9073569482288828,0
audio_encoder_pair,E3a,V2A,Blues,Classical music,17,4.632152588555858,0
audio_encoder_pair,E3a,V2A,Blues,Country,99,26.975476839237057,0
audio_encoder_pair,E3a,V2A,Blues,Electronic music,23,6.267029972752043,0
audio_encoder_pair,E3a,V2A,Blues,Funk,24,6.539509536784741,0
audio_encoder_pair,E3a,V2A,Blues,Hip hop music,26,7.084468664850136,0
audio_encoder_pair,E3a,V2A,Blues,Jazz,50,13.623978201634877,0
audio_encoder_pair,E3a,V2A,Blues,Pop music,23,6.267029972752043,0
audio_encoder_pair,E3a,V2A,Blues,Reggae,13,3.542234332425068,0
audio_encoder_pair,E3a,V2A,Blues,Rock music,92,25.068119891008173,0
audio_encoder_pair,E3a,V2A,Classical music,Blues,7,1.9125683060109289,0
audio_encoder_pair,E3a,V2A,Classical music,Country,127,34.69945355191257,0
audio_encoder_pair,E3a,V2A,Classical music,Electronic music,33,9.01639344262295,0
audio_encoder_pair,E3a,V2A,Classical music,Funk,10,2.73224043715847,0
audio_encoder_pair,E3a,V2A,Classical music,Hip hop music,1,0.273224043715847,0
audio_encoder_pair,E3a,V2A,Classical music,Jazz,165,45.08196721311475,0
audio_encoder_pair,E3a,V2A,Classical music,Pop music,12,3.278688524590164,0
audio_encoder_pair,E3a,V2A,Classical music,Reggae,2,0.546448087431694,0
audio_encoder_pair,E3a,V2A,Classical music,Rock music,9,2.459016393442623,0
audio_encoder_pair,E3a,V2A,Country,Blues,153,41.689373297002724,0
audio_encoder_pair,E3a,V2A,Country,Classical music,53,14.44141689373297,0
audio_encoder_pair,E3a,V2A,Country,Electronic music,14,3.8147138964577656,0
audio_encoder_pair,E3a,V2A,Country,Funk,16,4.359673024523161,0
audio_encoder_pair,E3a,V2A,Country,Hip hop music,10,2.7247956403269753,0
audio_encoder_pair,E3a,V2A,Country,Jazz,31,8.446866485013624,0
audio_encoder_pair,E3a,V2A,Country,Pop music,38,10.354223433242506,0
audio_encoder_pair,E3a,V2A,Country,Reggae,13,3.542234332425068,0
audio_encoder_pair,E3a,V2A,Country,Rock music,39,10.626702997275205,0
audio_encoder_pair,E3a,V2A,Electronic music,Blues,10,2.7247956403269753,0
audio_encoder_pair,E3a,V2A,Electronic music,Classical music,11,2.997275204359673,0
audio_encoder_pair,E3a,V2A,Electronic music,Country,1,0.2724795640326976,0
audio_encoder_pair,E3a,V2A,Electronic music,Funk,101,27.52043596730245,1
audio_encoder_pair,E3a,V2A,Electronic music,Hip hop music,123,33.514986376021795,1
audio_encoder_pair,E3a,V2A,Electronic music,Jazz,0,0.0,0
audio_encoder_pair,E3a,V2A,Electronic music,Pop music,48,13.079019073569482,1
audio_encoder_pair,E3a,V2A,Electronic music,Reggae,13,3.542234332425068,1
audio_encoder_pair,E3a,V2A,Electronic music,Rock music,60,16.348773841961854,0
audio_encoder_pair,E3a,V2A,Funk,Blues,29,7.901907356948229,0
audio_encoder_pair,E3a,V2A,Funk,Classical music,6,1.6348773841961852,0
audio_encoder_pair,E3a,V2A,Funk,Country,12,3.2697547683923704,0
audio_encoder_pair,E3a,V2A,Funk,Electronic music,70,19.07356948228883,1
audio_encoder_pair,E3a,V2A,Funk,Hip hop music,65,17.71117166212534,1
audio_encoder_pair,E3a,V2A,Funk,Jazz,16,4.359673024523161,0
audio_encoder_pair,E3a,V2A,Funk,Pop music,56,15.258855585831062,1
audio_encoder_pair,E3a,V2A,Funk,Reggae,72,19.618528610354222,1
audio_encoder_pair,E3a,V2A,Funk,Rock music,41,11.1716621253406,0
audio_encoder_pair,E3a,V2A,Hip hop music,Blues,1,0.2724795640326976,0
audio_encoder_pair,E3a,V2A,Hip hop music,Classical music,1,0.2724795640326976,0
audio_encoder_pair,E3a,V2A,Hip hop music,Country,2,0.5449591280653951,0
audio_encoder_pair,E3a,V2A,Hip hop music,Electronic music,82,22.3433242506812,1
audio_encoder_pair,E3a,V2A,Hip hop music,Funk,36,9.809264305177111,1
audio_encoder_pair,E3a,V2A,Hip hop music,Jazz,0,0.0,0
audio_encoder_pair,E3a,V2A,Hip hop music,Pop music,27,7.356948228882834,1
audio_encoder_pair,E3a,V2A,Hip hop music,Reggae,206,56.130790190735695,1
audio_encoder_pair,E3a,V2A,Hip hop music,Rock music,12,3.2697547683923704,0
audio_encoder_pair,E3a,V2A,Jazz,Blues,71,19.346049046321525,0
audio_encoder_pair,E3a,V2A,Jazz,Classical music,82,22.3433242506812,0
audio_encoder_pair,E3a,V2A,Jazz,Country,52,14.168937329700272,0
audio_encoder_pair,E3a,V2A,Jazz,Electronic music,28,7.629427792915531,0
audio_encoder_pair,E3a,V2A,Jazz,Funk,23,6.267029972752043,0
audio_encoder_pair,E3a,V2A,Jazz,Hip hop music,26,7.084468664850136,0
audio_encoder_pair,E3a,V2A,Jazz,Pop music,28,7.629427792915531,0
audio_encoder_pair,E3a,V2A,Jazz,Reggae,18,4.9046321525885554,0
audio_encoder_pair,E3a,V2A,Jazz,Rock music,39,10.626702997275205,0
audio_encoder_pair,E3a,V2A,Pop music,Blues,8,2.1798365122615806,0
audio_encoder_pair,E3a,V2A,Pop music,Classical music,7,1.9073569482288828,0
audio_encoder_pair,E3a,V2A,Pop music,Country,22,5.994550408719346,0
audio_encoder_pair,E3a,V2A,Pop music,Electronic music,46,12.534059945504087,1
audio_encoder_pair,E3a,V2A,Pop music,Funk,104,28.337874659400544,1
audio_encoder_pair,E3a,V2A,Pop music,Hip hop music,73,19.891008174386922,1
audio_encoder_pair,E3a,V2A,Pop music,Jazz,6,1.6348773841961852,0
audio_encoder_pair,E3a,V2A,Pop music,Reggae,26,7.084468664850136,1
audio_encoder_pair,E3a,V2A,Pop music,Rock music,75,20.435967302452315,0
audio_encoder_pair,E3a,V2A,Reggae,Blues,13,3.551912568306011,0
audio_encoder_pair,E3a,V2A,Reggae,Classical music,4,1.092896174863388,0
audio_encoder_pair,E3a,V2A,Reggae,Country,6,1.639344262295082,0
audio_encoder_pair,E3a,V2A,Reggae,Electronic music,45,12.295081967213115,1
audio_encoder_pair,E3a,V2A,Reggae,Funk,108,29.508196721311474,1
audio_encoder_pair,E3a,V2A,Reggae,Hip hop music,136,37.15846994535519,1
audio_encoder_pair,E3a,V2A,Reggae,Jazz,10,2.73224043715847,0
audio_encoder_pair,E3a,V2A,Reggae,Pop music,19,5.191256830601093,1
audio_encoder_pair,E3a,V2A,Reggae,Rock music,25,6.830601092896175,0
audio_encoder_pair,E3a,V2A,Rock music,Blues,133,36.23978201634878,0
audio_encoder_pair,E3a,V2A,Rock music,Classical music,7,1.9073569482288828,0
audio_encoder_pair,E3a,V2A,Rock music,Country,16,4.359673024523161,0
audio_encoder_pair,E3a,V2A,Rock music,Electronic music,74,20.16348773841962,0
audio_encoder_pair,E3a,V2A,Rock music,Funk,44,11.989100817438691,0
audio_encoder_pair,E3a,V2A,Rock music,Hip hop music,9,2.4523160762942777,0
audio_encoder_pair,E3a,V2A,Rock music,Jazz,15,4.087193460490464,0
audio_encoder_pair,E3a,V2A,Rock music,Pop music,62,16.893732970027248,0
audio_encoder_pair,E3a,V2A,Rock music,Reggae,7,1.9073569482288828,0
audio_encoder_genre,E3b,V2A,Blues,Classical music,25,6.8119891008174385,0
audio_encoder_genre,E3b,V2A,Blues,Country,126,34.33242506811989,0
audio_encoder_genre,E3b,V2A,Blues,Electronic music,29,7.901907356948229,0
audio_encoder_genre,E3b,V2A,Blues,Funk,4,1.0899182561307903,0
audio_encoder_genre,E3b,V2A,Blues,Hip hop music,24,6.539509536784741,0
audio_encoder_genre,E3b,V2A,Blues,Jazz,51,13.896457765667575,0
audio_encoder_genre,E3b,V2A,Blues,Pop music,13,3.542234332425068,0
audio_encoder_genre,E3b,V2A,Blues,Reggae,19,5.177111716621253,0
audio_encoder_genre,E3b,V2A,Blues,Rock music,76,20.708446866485012,0
audio_encoder_genre,E3b,V2A,Classical music,Blues,0,0.0,0
audio_encoder_genre,E3b,V2A,Classical music,Country,127,34.69945355191257,0
audio_encoder_genre,E3b,V2A,Classical music,Electronic music,16,4.371584699453552,0
audio_encoder_genre,E3b,V2A,Classical music,Funk,0,0.0,0
audio_encoder_genre,E3b,V2A,Classical music,Hip hop music,2,0.546448087431694,0
audio_encoder_genre,E3b,V2A,Classical music,Jazz,213,58.19672131147541,0
audio_encoder_genre,E3b,V2A,Classical music,Pop music,0,0.0,0
